category id,device name,cost
1,"Процессор AMD FX-4300 OEM [AM3+, 4 x 3800 МГц, L2 - 4 МБ, L3 - 4 МБ, 2хDDR3-1866 МГц, TDP 95 Вт]",3750
1,"Процессор AMD Ryzen 5 3600, OEM",15590
1,"Процессор AMD Athlon 3000G, OEM",5600
1,"Процессор AMD Ryzen 5 2600, OEM",12590
1,"Процессор INTEL Core i3 10100F, OEM",6700
1,"Процессор INTEL Core i5 10400F, OEM",13890
1,"Процессор AMD Ryzen 7 3700X, OEM",24740
1,"Процессор AMD A8 9600, OEM",6400
1,"Процессор Intel Pentium Dual-Core G4400, OEM",7490
1,"Процессор Intel Core i5 9400F, OEM",11990
2,"Материнская плата GIGABYTE H310M S2 2.0 [LGA 1151-v2, Intel H310, 2xDDR4-2666 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",3299
2,Материнская плата ASROCK A320M-DVS R4.0,3570
2,Материнская плата ASROCK B450M PRO4,5550
2,Материнская плата GIGABYTE H410M S2 V2,5300
2,Материнская плата GIGABYTE B450 AORUS ELITE V2,7140
2,Материнская плата ASROCK B460M Pro4,7580
2,Материнская плата ASROCK B450 PRO4 R2.0,6540
2,Материнская плата ASUS PRIME A320M-K,4620
2,Материнская плата ASUS PRIME H310M-R R2.0,3770
2,Материнская плата GIGABYTE B550 AORUS ELITE V2,10920
3,"Видеокарта PALIT NVIDIA GeForce RTX 3060, PA-RTX3060 DUAL 12G",71500
3,"Видеокарта PALIT NVIDIA GeForce RTX 3060, RTX3060 DUAL OC 12G",71990
3,"Видеокарта PALIT NVIDIA GeForce GTX 1050TI, PA-GTX1050Ti StormX 4G",22990
3,"Видеокарта PALIT NVIDIA GeForce RTX 3070TI, PA-RTX3070TI GAMINGPRO 8G",135700
3,"Видеокарта PALIT NVIDIA GeForce RTX 2060, PA-RTX2060 DUAL 6G no LED",66990
3,"Видеокарта MSI NVIDIA GeForce GT 1030, GT 1030 AERO ITX 2GD4 OC",7290
3,"Видеокарта PALIT NVIDIA GeForce GTX 1660, PA-GTX1660 DUAL OC 6G",46990
3,"Видеокарта MSI NVIDIA GeForce GT 710, GT 710 1GD3H LP",3500
3,"Видеокарта GIGABYTE NVIDIA GeForce GTX 1660TI, GV-N166TOC-6GD",61990
3,"Видеокарта PALIT NVIDIA GeForce GTX 1660SUPER, PA-GTX1660SUPER STORMX 6G",61690
4,Модуль памяти CRUCIAL CT8G4DFRA266 DDR4 - 8ГБ,2790
4,Модуль памяти AMD Radeon R7 Performance Series R748G2606U2S-UO DDR4 - 8ГБ,2590
4,Модуль памяти CORSAIR Vengeance LPX CMK16GX4M2B3200C16 DDR4 - 2x 8ГБ,6990
4,Модуль памяти Patriot Signature PSD48G266681 DDR4 - 8ГБ,2690
4,Модуль памяти Kingston HyperX FURY Black HX426C16FB3K2/16 DDR4 - 2x 8ГБ,7490
